,title,budget,release_season,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,revenue
0,The Smurfs 2,105000000,Summer,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,347434178
1,The Nun,22000000,Summer,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,347160591
2,Trolls,125000000,Summer,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,346864462
3,xXx: Return of Xander Cage,85000000,Summer,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346147658
4,Star Trek Beyond,185000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,343471816
5,Alvin and the Chipmunks: Chipwrecked,75000000,Summer,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,342695435
6,300: Rise of an Empire,110000000,Summer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,337580051
7,Prince of Persia: The Sands of Time,150000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,335154643
8,Now You See Me 2,90000000,Summer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,334901337
9,Sherlock Holmes: A Game of Shadows,125000000,Summer,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,334615000
10,A Quiet Place,17000000,Summer,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,332583447
11,The Great Wall,150000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331957105
12,The Good Dinosaur,175000000,Summer,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,331926147
13,Black Swan,13000000,Summer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,327803731
14,Taken 3,48000000,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,325771424
15,Megamind,130000000,Summer,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,321887208
16,The Conjuring 2,40000000,Summer,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,320170008
17,The Conjuring,13000000,Summer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,319494638
18,The Last Airbender,150000000,Summer,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,318502923
