,critic,movie_title,box_office_total
0,A. O. Scott,Hereditary,79275328
1,A. O. Scott,First Reformed,2525738
2,A. O. Scott,Fences,64414761
3,A. O. Scott,La La Land,445435700
4,A. O. Scott,Things to Come,282382
5,A. O. Scott,Allied,119520023
6,A. O. Scott,Elle,2341534
7,A. O. Scott,The Eagle Huntress,3162153
8,A. O. Scott,Moonlight,65046687
9,A. O. Scott,Aquarius,285930
10,A. O. Scott,American Honey,1818075
11,A. O. Scott,Queen of Katwe,10367161
12,A. O. Scott,Sausage Party,140705322
13,A. O. Scott,Equity,1605463
14,A. O. Scott,Free State of Jones,25035950
15,A. O. Scott,Finding Dory,1028570889
16,A. O. Scott,Maggie's Plan,3351735
17,A. O. Scott,Love & Friendship,14016568
18,A. O. Scott,Barbershop: The Next Cut,55030051
19,A. O. Scott,Everybody Wants Some!!,3400278
20,A. O. Scott,45 Years,4250507
21,A. O. Scott,The Big Short,133346506
22,A. O. Scott,Creed,173567581
23,A. O. Scott,Spotlight,88346473
24,A. O. Scott,Brooklyn,62076141
25,A. O. Scott,Steve Jobs,34441873
26,A. O. Scott,The Walk,61181942
27,A. O. Scott,Mississippi Grind,130541
28,A. O. Scott,Grandma,7087452
29,A. O. Scott,The End of the Tour,3002884
30,A. O. Scott,Magic Mike XXL,122513057
31,A. O. Scott,Inside Out,857611174
32,A. O. Scott,Love & Mercy,28641776
33,A. O. Scott,Results,104507
34,A. O. Scott,Mad Max: Fury Road,378858340
35,A. O. Scott,While We're Young,7587485
36,A. O. Scott,A Most Violent Year,12007070
37,A. O. Scott,Selma,66787908
38,A. O. Scott,"Two Days, One Night",6860853
39,A. O. Scott,Mr. Turner,5405500
40,A. O. Scott,Wild,52501541
41,A. O. Scott,The Babadook,6676471
42,A. O. Scott,The Homesman,3442853
43,A. O. Scott,Red Army,694600
44,A. O. Scott,Beyond the Lights,14618727
45,A. O. Scott,Interstellar,675120017
46,A. O. Scott,Citizenfour,3003169
47,A. O. Scott,Whiplash,13092000
48,A. O. Scott,Love Is Strange,2262223
49,A. O. Scott,Dawn of the Planet of the Apes,710644566
50,A. O. Scott,Obvious Child,3123963
51,Manohla Dargis,A Star Is Born,156001502
52,Manohla Dargis,Mission: Impossible - Fallout,501912068
53,Manohla Dargis,Eighth Grade,13498185
54,Manohla Dargis,Leave No Trace,6046104
55,Manohla Dargis,Three Identical Strangers,1041955
56,Manohla Dargis,Incredibles 2,868429911
57,Manohla Dargis,Lean on Pete,1163056
58,Manohla Dargis,Isle of Dogs,64207623
59,Manohla Dargis,Red Sparrow,147988192
60,Manohla Dargis,Black Panther,1346739107
61,Manohla Dargis,All the Money in the World,56996304
62,Manohla Dargis,The Post,174503458
63,Manohla Dargis,Star Wars: The Last Jedi,1332459537
64,Manohla Dargis,Call Me by Your Name,41063475
65,Manohla Dargis,Wonderstruck,1947099
66,Manohla Dargis,Professor Marston and the Wonder Women,1584759
67,Manohla Dargis,Ex Libris: New York Public Library,151356
68,Manohla Dargis,Brigsby Bear,532669
69,Manohla Dargis,Dunkirk,525573161
70,Manohla Dargis,Baby Driver,226945087
71,Manohla Dargis,The Big Sick,56303596
72,Manohla Dargis,Maudie,6170998
73,Manohla Dargis,The Lost City of Z,8574339
74,Manohla Dargis,Call Me by Your Name,41063475
75,Manohla Dargis,Song to Song,1710528
76,Manohla Dargis,Get Out,255017329
77,Manohla Dargis,Paterson,2152738
78,Manohla Dargis,20th Century Women,5664764
79,Manohla Dargis,Jackie,13960394
80,Manohla Dargis,Arrival,203388186
81,Manohla Dargis,Loving,8996802
82,Manohla Dargis,Doctor Strange,677718395
83,Manohla Dargis,The Handmaiden,1983204
84,Manohla Dargis,The Neon Demon,1333124
85,Manohla Dargis,Sully,238470033
86,Manohla Dargis,Captain Fantastic,5879736
87,Manohla Dargis,Hunt for the Wilderpeople,23200000
88,Manohla Dargis,The Meddler,4267218
89,Manohla Dargis,Krisha,140779
90,Manohla Dargis,The Witch,40423945
91,Manohla Dargis,Anomalisa,5659286
92,Manohla Dargis,The Good Dinosaur,331926147
93,Manohla Dargis,The Hunger Games: Mockingjay - Part 2,653428261
94,Manohla Dargis,The Martian,630161890
95,Manohla Dargis,The Diary of a Teenage Girl,1477002
96,Manohla Dargis,Trainwreck,140795793
97,Manohla Dargis,Tangerine,924793
98,Manohla Dargis,Amy,8413144
99,Manohla Dargis,The Wolfpack,1301696
100,Manohla Dargis,Ex Machina,36869414
101,Manohla Dargis,Blackhat,17752940
102,Manohla Dargis,Top Five,25434291
103,Manohla Dargis,Foxcatcher,12096300
104,Manohla Dargis,Listen Up Philip,200126
105,Manohla Dargis,Birdman,103215094
106,Stephen Holden,Lovesong,6700
107,Stephen Holden,"I, Daniel Blake",260354
108,Stephen Holden,The Edge of Seventeen,18803648
109,Stephen Holden,Being 17,2000000
110,Stephen Holden,Miss Stevens,4611
111,Stephen Holden,White Girl,200242
112,Stephen Holden,The Light Between Oceans,25956113
113,Stephen Holden,Indignation,3924527
114,Stephen Holden,The Innocents,1063893
115,Stephen Holden,From Afar,30169
116,Stephen Holden,A Hologram for the King,4212494
117,Stephen Holden,Anesthesia,32163
118,Stephen Holden,Where to Invade Next,3820195
119,Stephen Holden,Truth,2541554
120,Stephen Holden,Victoria,3191998
121,Stephen Holden,Youth,2000000
122,Stephen Holden,Mistress America,2500431
123,Stephen Holden,The Gift,58978653
124,Stephen Holden,Good Kill,316472
125,Stephen Holden,Buzzard,13684
126,Stephen Holden,Into the Woods,212902372
127,Stephen Holden,Force Majeure,1359497
128,Stephen Holden,You're Not You,11486
129,Stephen Holden,Pride,7523634
130,Stephen Holden,The Skeleton Twins,5284309
131,Stephen Holden,Get on Up,31911598
