,title,budget,release_season,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,revenue
0,Star Wars: The Force Awakens,245000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2068223624
1,Avengers: Infinity War,300000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2046239637
2,Jurassic World,150000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1671713208
3,The Avengers,220000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1519557910
4,Furious 7,190000000,Summer,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1506249360
5,Avengers: Age of Ultron,280000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1405403694
6,Black Panther,200000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1346739107
7,Harry Potter and the Deathly Hallows: Part 2,125000000,Summer,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1342000000
8,Star Wars: The Last Jedi,200000000,Summer,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1332459537
9,Jurassic World: Fallen Kingdom,170000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1303459585
10,Frozen,150000000,Summer,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1274219009
11,Beauty and the Beast,160000000,Summer,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1263521126
12,The Fate of the Furious,250000000,Summer,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1238764765
13,Iron Man 3,200000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1215439994
14,Minions,74000000,Summer,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1156730962
15,Captain America: Civil War,240000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1153304495
16,Transformers: Dark of the Moon,195000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1123746996
17,Skyfall,200000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1108561013
18,Transformers: Age of Extinction,210000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1091405097
19,The Dark Knight Rises,250000000,Summer,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1084939099
20,Toy Story 3,200000000,Summer,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1066969703
21,Rogue One: A Star Wars Story,200000000,Summer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1056057273
22,Pirates of the Caribbean: On Stranger Tides,380000000,Summer,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1045713802
